Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Coordinate_System,Approval_Status,Approval_Date,Origin,
"Abbe","Moon",63.98,-57.58,174.77,"Planetographic  +East  -180 - 180","Approved","1970","Ernst Karl; German optician, physicist, astronomer (1840-1905).",
"Abbe H","Moon",25.13,-58.44,177.58,"Planetographic  +East  -180 - 180","Approved","2006","Ernst Karl; German optician, physicist, astronomer (1840-1905).",
"Abbe K","Moon",26.1,-59.82,176.86,"Planetographic  +East  -180 - 180","Approved","2006","Ernst Karl; German optician, physicist, astronomer (1840-1905).",
"Abbe M","Moon",28.61,-61.75,175.24,"Planetographic  +East  -180 - 180","Approved","2006","Ernst Karl; German optician, physicist, astronomer (1840-1905).",
"Abbot","Moon",10.4,5.56,54.74,"Planetographic  +East  -180 - 180","Approved","1973","Charles Greeley; American astrophysicist (1872-1973).",
"[Abduh]","Moon",0,14.7,39,"Planetographic  +East  -180 - 180","Not Approved"," ","Mohammed; Egyptian writer (1849-1905).",
"Abel","Moon",137.35,-34.63,85.78,"Planetographic  +East  -180 - 180","Approved","1964","Niels Henrik; Norwegian mathematician (1802-1829).",
"Abel A","Moon",27.83,-36.31,85.8,"Planetographic  +East  -180 - 180","Approved","2006","Niels Henrik; Norwegian mathematician (1802-1829).",
"Abel B","Moon",41.55,-36.72,82.6,"Planetographic  +East  -180 - 180","Approved","2006","Niels Henrik; Norwegian mathematician (1802-1829).",
"Abel C","Moon",36.84,-36.13,81.41,"Planetographic  +East  -180 - 180","Approved","2006","Niels Henrik; Norwegian mathematician (1802-1829).",
"Abel D","Moon",27.9,-37.67,86.45,"Planetographic  +East  -180 - 180","Approved","2006","Niels Henrik; Norwegian mathematician (1802-1829).",
"Abel E","Moon",14,-37.54,84.44,"Planetographic  +East  -180 - 180","Approved","2006","Niels Henrik; Norwegian mathematician (1802-1829).",
"Abel J","Moon",18.76,-36.2,79.87,"Planetographic  +East  -180 - 180","Approved","2006","Niels Henrik; Norwegian mathematician (1802-1829).",
"Abel K","Moon",9.94,-34.69,77.46,"Planetographic  +East  -180 - 180","Approved","2006","Niels Henrik; Norwegian mathematician (1802-1829).",
"Abel L","Moon",54.13,-34.55,82.39,"Planetographic  +East  -180 - 180","Approved","2006","Niels Henrik; Norwegian mathematician (1802-1829).",
"Abel M","Moon",91.01,-32.38,83.52,"Planetographic  +East  -180 - 180","Approved","2006","Niels Henrik; Norwegian mathematician (1802-1829).",
"Abenezra","Moon",43.19,-20.99,11.89,"Planetographic  +East  -180 - 180","Approved","1935","Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",
"Abenezra A","Moon",22.19,-22.79,10.44,"Planetographic  +East  -180 - 180","Approved","2006","Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",
"Abenezra B","Moon",13.77,-20.82,10.06,"Planetographic  +East  -180 - 180","Approved","2006","Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167).",
