Abbe,63.98,-57.58,174.77
Abbe H,25.13,-58.44,177.58
Abbe K,26.1,-59.82,176.86
Abbe M,28.61,-61.75,175.24
Abbot,10.4,5.56,54.74
[Abduh],0,14.7,39
Abel,137.35,-34.63,85.78
Abel A,27.83,-36.31,85.8
Abel B,41.55,-36.72,82.6
Abel C,36.84,-36.13,81.41
Abel D,27.9,-37.67,86.45
Abel E,14,-37.54,84.44
Abel J,18.76,-36.2,79.87
Abel K,9.94,-34.69,77.46
Abel L,54.13,-34.55,82.39
Abel M,91.01,-32.38,83.52
Abenezra,43.19,-20.99,11.89
Abenezra A,22.19,-22.79,10.44
Abenezra B,13.77,-20.82,10.06
Abenezra C,43.69,-21.37,11.09
Abenezra D,7.25,-21.76,9.65
Abenezra E,14.11,-21.46,9.4
Abenezra F,6.3,-21.58,10.34
Abenezra G,4.92,-20.53,11
Abenezra H,4.72,-21.09,12.71
Abenezra J,4.26,-19.92,10.69
Abenezra P,39.27,-20.02,9.85
Abetti,1.6,20.11,27.82
Abulfeda,62.23,-13.87,13.91
Abulfeda A,13.26,-16.43,10.75
Abulfeda B,15.49,-14.51,16.37
Abulfeda BA,13.99,-14.69,16.8
Abulfeda C,16.43,-12.79,10.83
Abulfeda D,19.68,-13.25,9.46
Abulfeda E,5.55,-16.76,10.14
Abulfeda F,17.47,-16.19,13.07
Abulfeda G,6.31,-13.1,8.94
Abulfeda H,4.22,-13.84,9.56
Abulfeda J,4.07,-15.49,10.03
Abulfeda K,9.93,-14.92,10.58
Abulfeda L,4.95,-14.09,10.67
Abulfeda M,10.05,-16.23,12.06
Abulfeda N,13.07,-15.14,12.2
Abulfeda O,6.6,-15.47,11.16
Abulfeda P,4.59,-15.5,11.54
Abulfeda Q,3.51,-12.86,12.22
Abulfeda R,6.34,-12.79,12.97
Abulfeda S,5.28,-12.28,13.3
Abulfeda T,6.16,-14.86,13.71
Abulfeda U,5.82,-12.97,13.8
Abulfeda W,5.42,-12.55,13.85
Abulfeda X,5.8,-15.01,13.99
Abulfeda Y,4.63,-12.76,14.05
Abulfeda Z,5.66,-14.73,15.18
Abul Wáfa,54.18,0.96,116.63
Abul Wáfa A,14.98,1.4,116.86
Abul Wáfa Q,31.04,0.14,115.88
Acosta,13.06,-5.65,60.14
Adams,63.27,-31.89,68.39
Adams B,31.33,-31.54,65.7
Adams C,11.12,-32.35,65.54
Adams D,46.26,-32.41,71.45
Adams M,25.23,-34.73,69.33
Adams P,25.43,-35.15,70.91
Aepinus,16.74,87.96,-109.69
Agatharchides,51.98,-19.85,-31.11
Agatharchides A,15.68,-23.27,-28.46
Agatharchides B,6.97,-21.52,-31.71
Agatharchides C,11.46,-22.06,-32.94
Agatharchides E,15.27,-20.74,-33.19
Agatharchides F,5.89,-20.26,-31.86
Agatharchides G,5.96,-20.17,-26.84
Agatharchides H,15.97,-20.41,-33.95
Agatharchides J,13.04,-21.62,-32.61
Agatharchides K,13.35,-21.08,-27.53
Agatharchides L,7.99,-21.12,-26.79
Agatharchides N,21.65,-21.09,-29.72
Agatharchides O,4.65,-19.24,-26.71
Agatharchides P,65.98,-20.3,-28.77
Agatharchides R,5.11,-18.36,-30.85
Agatharchides S,3.06,-17.75,-30.59
Agatharchides T,5.62,-18.32,-27.8
Agrippa,43.75,4.1,10.47
Agrippa B,4.01,6.2,9.46
Agrippa D,21.36,3.77,6.72
Agrippa E,5,5.16,8.44
Agrippa F,5.35,4.3,11.37
Agrippa G,13.24,3.91,6.16
Agrippa H,4.86,4.75,10.7
Agrippa S,31.71,5.28,8.89
Airy,38.9,-18.14,5.61
Airy A,12.19,-17.05,7.64
Airy B,27.26,-17.67,8.46
Airy C,30.49,-19.25,4.77
Airy D,6.61,-18.13,8.34
Airy E,38.04,-20.75,7.55
Airy F,4.84,-18.2,7.26
Airy G,25.32,-18.7,6.96
Airy H,9.31,-18.74,5.69
Airy J,3.93,-19.05,6.08
Airy L,6.02,-20.47,7.54
Airy M,0.85,-19.15,7.56
Airy N,7.95,-17.85,8.18
Airy O,4.53,-16.75,8.35
Airy P,6.64,-15.88,8.35
Airy R,6.34,-19.6,8.78
Airy S,5.31,-17.28,9.39
Airy T,36.92,-19.27,9.38
Airy V,4.43,-17.5,9.14
Airy X,3.87,-18.95,10.12
Aitken,129.69,-16.44,172.96
Aitken A,12.94,-13.87,173.46
Aitken C,65.61,-13.76,175.57
Aitken G,6.05,-16.71,173.99
Aitken N,7.15,-17.63,172.74
Aitken Y,35.72,-11.93,172.92
Aitken Z,32.06,-14.89,173.21
Akis,2.28,20.01,-31.76
Alan,1.44,-10.93,-6.17
Al-Bakri,12.21,14.34,20.25
Albategnius,130.84,-11.24,4.01
Albategnius A,6.79,-9.34,3.03
Albategnius B,18.98,-10.07,4.03
Albategnius C,5.66,-10.33,3.71
Albategnius D,8.35,-11.36,7.14
Albategnius E,12.67,-12.95,6.38
Albategnius G,13.79,-9.46,1.89
Albategnius H,11.77,-9.66,5.16
Albategnius J,5.97,-11.14,6.19
Albategnius K,10.31,-9.9,2
Albategnius L,7.45,-12.08,6.31
Albategnius M,8.07,-8.92,4.16
Albategnius N,8.61,-9.89,4.54
Albategnius O,4.54,-13.62,4.43
Albategnius P,4.01,-13.02,4.49
Albategnius S,5.91,-13.35,6.05
Albategnius T,9.61,-12.66,6.06
Albert,0.1,38.3,-35
Al-Biruni,80.41,18.07,92.62
Al-Biruni C,9.53,18.42,93.06
Alden,111.44,-23.51,111.11
Alden B,15.1,-20.6,113.11
Alden C,56.81,-22.69,111.74
Alden E,26.37,-23.42,112.81
Alden V,20.89,-22.7,110.46
Alder,82.12,-48.63,-177.88
Alder E,18.63,-47.97,-173.5
Aldrin,2.8,1.41,22.09
Alekhin,74.82,-67.94,-131.85
Alekhin E,39.6,-66.96,-124.58
Alexander,94.8,40.25,13.69
Alexander A,3.99,40.78,14.94
Alexander B,3.89,40.28,15.14
Alexander C,4.23,38.52,14.95
Alexander K,3.95,40.52,19.35
Alfraganus,20.52,-5.42,18.97
Alfraganus A,13.87,-3.05,20.32
Alfraganus C,10.3,-6.13,18.09
Alfraganus D,8.29,-4.05,20.14
Alfraganus E,3.85,-4.62,19
Alfraganus F,8.64,-3.54,20.84
Alfraganus G,5.74,-2.67,21.23
Alfraganus H,12,-4.36,19.16
Alfraganus K,2.95,-5.25,19.54
Alfraganus M,3.16,-5.66,19.56
Alhazen,34.65,15.91,71.83
Alhazen A,16.14,16.17,74.3
Alhazen D,34.23,19.68,75.17
Aliacensis,79.65,-30.6,5.13
Aliacensis A,13.61,-29.71,7.39
Aliacensis B,15.81,-31.43,3.2
Aliacensis C,7.93,-32.7,5.42
Aliacensis D,9.67,-33.19,6.82
Aliacensis E,8.74,-30.42,2.32
Aliacensis F,4.82,-32.66,3.84
Aliacensis G,7.76,-33.39,4.7
Aliacensis H,5.58,-31.81,6.01
Aliacensis K,5.65,-31.43,6.26
Aliacensis W,10.32,-31.9,5.32
Aliacensis X,3.66,-29.64,6.78
Aliacensis Y,4.7,-30.11,7.33
Aliacensis Z,3.83,-30.05,4.49
Al-Khwarizmi,56.25,7.02,107.01
Al-Khwarizmi B,59.06,9.09,107.92
Al-Khwarizmi G,102.83,6.76,107.35
Al-Khwarizmi H,49.72,5.85,109.77
Al-Khwarizmi J,44.68,6.19,108.14
Al-Khwarizmi K,22.36,4.5,108.15
Al-Khwarizmi L,35.51,3.77,107.89
Al-Khwarizmi M,16.4,3.05,107.44
Al-Khwarizmi T,14.05,7.06,104.96
Almanon,47.76,-16.85,15.14
Almanon A,9.75,-17.79,15.32
Almanon B,23.6,-18.33,15.26
Almanon C,15.62,-16.16,15.98
Almanon D,5.33,-18.6,15.54
Almanon E,5.37,-17.91,13.63
Almanon F,5.23,-15.92,14.27
Almanon G,4.47,-17.93,14.61
Almanon H,6.05,-19.03,15.22
Almanon K,6.46,-15.84,15.43
Almanon L,5.88,-19,16.58
Almanon P,19.44,-18.55,17
Almanon Q,4.63,-18.08,17
Almanon R,3.51,-18.17,15.88
Al-Marrakushi,8.57,-10.45,55.77
Aloha,2.55,29.79,-53.88
Alpes A,10.66,51.39,-0.3
Alpes B,4.82,45.81,-0.91
Alpetragius,40.02,-16.05,-4.51
Alpetragius B,9.73,-15.13,-6.88
Alpetragius C,2.11,-13.75,-6.17
Alpetragius G,12.18,-18.17,-6.56
Alpetragius H,4.43,-18.01,-6.1
Alpetragius J,4.13,-18.05,-5.7
Alpetragius M,23.21,-16.45,-3.27
Alpetragius N,11.27,-16.74,-3.88
Alpetragius U,15.59,-17.71,-5.11
Alpetragius V,15.9,-18.19,-5.83
Alpetragius W,27.68,-17.95,-5.96
Alpetragius X,31.78,-15.61,-5.74
Alphonsus,110.54,-13.39,-2.85
Alphonsus A,3.6,-14.87,-2.27
Alphonsus B,22.94,-13.26,-0.2
Alphonsus C,3.37,-14.4,-4.87
Alphonsus D,23.7,-15.05,-0.85
Alphonsus G,3.52,-12.35,-3.39
Alphonsus H,7.01,-15.62,-0.53
Alphonsus J,7.9,-15.14,-2.51
Alphonsus K,20.6,-12.61,-0.11
Alphonsus L,3.75,-12.02,-3.72
Alphonsus R,3.01,-14.39,-1.92
Alphonsus X,4.68,-14.99,-4.46
Alphonsus Y,2.6,-14.71,-1.92
Alter,64.73,18.74,-107.8
Alter K,21.64,16.22,-106.19
Alter W,51.47,20.38,-109.41
Ameghino,9.2,3.3,57.04
Amici,52.03,-10.06,-172.23
Amici M,107.91,-11.81,-172.02
Amici N,37.63,-11.88,-172.54
Amici P,24.93,-12.35,-174.13
Amici Q,43.59,-12.34,-175.89
Amici R,34.77,-11.5,-175.32
